PdId,IncidntNum,Incident Code,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,location,SF Find Neighborhoods 2 2,Current Police Districts 2 2,Current Supervisor Districts 2 2,Analysis Neighborhoods 2 2,DELETE - Fire Prevention Districts 2 2,DELETE - Police Districts 2 2,DELETE - Supervisor Districts 2 2,DELETE - Zip Codes 2 2,DELETE - Neighborhoods 2 2,DELETE - 2017 Fix It Zones 2 2,Civic Center Harm Reduction Project Boundary 2 2,Fix It Zones as of 2017-11-06  2 2,DELETE - HSOC Zones 2 2,Fix It Zones as of 2018-02-07 2 2,"CBD, BID and GBD Boundaries as of 2017 2 2","Areas of Vulnerability, 2016 2 2",Central Market/Tenderloin Boundary 2 2,Central Market/Tenderloin Boundary Polygon - Updated 2 2,HSOC Zones as of 2018-06-05 2 2,OWED Public Spaces 2 2,Neighborhoods 2
7030454709120,070304547,09120,FORGERY/COUNTERFEITING,"FORGERY, DRIVERS LICENSE OR ID-CARD",Saturday,03/17/2007,00:01,BAYVIEW,NONE,600 Block of RHODEISLAND ST,-122.402332861378,37.7615735216783,POINT (-122.402332861378 37.7615735216783),54,2,9,26,10,3,8,28856,29,,,,,,,1,,,,,54
8128558664080,081285586,64080,SUSPICIOUS OCC,SUSPICIOUS PERSON,Tuesday,12/02/2008,09:10,NORTHERN,PSYCHOPATHIC CASE,CHESTNUT ST / PIERCE ST,-122.439504944797,37.8004024933613,POINT (-122.439504944797 37.8004024933613),17,4,6,13,13,9,1,57,17,19,,21,,21,,1,,,,,17
7064760426080,070647604,26080,OTHER OFFENSES,CONSPIRACY,Wednesday,06/27/2007,13:10,TENDERLOIN,"ARREST, BOOKED",LEAVENWORTH ST / MCALLISTER ST,-122.413679376888,37.7809258336852,POINT (-122.41367937688801 37.7809258336852),21,5,10,36,7,10,9,28852,36,3,1,3,1,3,6,2,1,1,1,,21
9030529616010,090305296,16010,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,03/23/2009,15:43,PARK,"ARREST, CITED",700 Block of STANYAN ST,-122.453376250788,37.7687142722405,POINT (-122.453376250788 37.7687142722405),25,7,11,3,15,5,11,29492,9,22,,24,,25,,1,,,,,25
4096255116100,040962551,16100,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,08/23/2004,13:58,TENDERLOIN,"ARREST, BOOKED",100 Block of GOLDEN GATE AV,-122.413069926397,37.7820204255866,POINT (-122.413069926397 37.7820204255866),20,5,10,36,7,10,9,28852,36,17,1,18,1,18,6,2,1,1,1,,20
5143009013010,051430090,13010,PROSTITUTION,INMATE/KEEPER OF HOUSE OF PROSTITUTION,Wednesday,12/21/2005,18:00,CENTRAL,"ARREST, CITED",SUTTER ST / LARKIN ST,-122.418467747938,37.7879652569568,POINT (-122.41846774793801 37.7879652569568),50,6,3,21,13,9,10,28858,21,,,,,,,2,,,,,50
8016464826150,080164648,26150,OTHER OFFENSES,PAROLE VIOLATION,Friday,02/15/2008,17:37,SOUTHERN,"ARREST, BOOKED",500 Block of MINNA ST,-122.408673540372,37.7800574377607,POINT (-122.408673540372 37.78005743776071),32,1,10,34,14,2,9,28853,34,24,1,6,1,6,,2,1,1,1,,32
9095026163010,090950261,63010,WARRANTS,WARRANT ARREST,Tuesday,09/15/2009,09:44,TENDERLOIN,"ARREST, BOOKED",EDDY ST / HYDE ST,-122.415885065788,37.7835160564153,POINT (-122.415885065788 37.7835160564153),20,5,10,36,7,10,9,28852,36,17,1,18,,18,6,2,1,1,,,20
12041026862030,120410268,62030,WARRANTS,ENROUTE TO PAROLE OFFICER,Wednesday,05/23/2012,22:10,SOUTHERN,"ARREST, BOOKED",500 Block of STEVENSON ST,-122.410793915482,37.780832063096,POINT (-122.410793915482 37.780832063096),32,5,10,34,14,2,9,28853,34,3,1,3,1,3,7,2,1,1,1,,32
12102396509015,121023965,09015,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Thursday,12/20/2012,10:48,MISSION,"ARREST, BOOKED",2800 Block of MISSION ST,-122.418296094437,37.7514284856786,POINT (-122.418296094437 37.7514284856786),53,3,2,20,2,4,7,28859,19,,,,3,,,2,,,3,,53
