council area|GB-SAY|South Ayrshire||en||
unitary authority|GB-SGC|South Gloucestershire||en||
council area|GB-SLK|South Lanarkshire||en||
metropolitan district|GB-STY|South Tyneside||en||
unitary authority|GB-STH|Southampton||en||
unitary authority|GB-SOS|Southend-on-Sea||en||
London borough|GB-SWK|Southwark||en||
metropolitan district|GB-SHN|St. Helens||en||
two-tier county|GB-STS|Staffordshire||en||
council area|GB-STG|Stirling||en||
metropolitan district|GB-SKP|Stockport||en||
unitary authority|GB-STT|Stockton-on-Tees||en||
unitary authority|GB-STE|Stoke-on-Trent||en||
two-tier county|GB-SFK|Suffolk||en||
metropolitan district|GB-SND|Sunderland||en||
two-tier county|GB-SRY|Surrey||en||
London borough|GB-STN|Sutton||en||
unitary authority|GB-SWA|Swansea [Abertawe GB-ATA]||en||
unitary authority|GB-SWD|Swindon||en||
metropolitan district|GB-TAM|Tameside||en||
unitary authority|GB-TFW|Telford and Wrekin||en||
unitary authority|GB-THR|Thurrock||en||
unitary authority|GB-TOB|Torbay||en||
unitary authority|GB-TOF|Torfaen [Tor-faen]||en||
London borough|GB-TWH|Tower Hamlets||en||
metropolitan district|GB-TRF|Trafford||en||
unitary authority|GB-VGL|Vale of Glamorgan, The [Bro Morgannwg GB-BMG]||en||
metropolitan district|GB-WKF|Wakefield||en||
metropolitan district|GB-WLL|Walsall||en||
London borough|GB-WFT|Waltham Forest||en||
London borough|GB-WND|Wandsworth||en||
unitary authority|GB-WRT|Warrington||en||
two-tier county|GB-WAR|Warwickshire||en||
unitary authority|GB-WBK|West Berkshire||en||
council area|GB-WDU|West Dunbartonshire||en||
council area|GB-WLN|West Lothian||en||
two-tier county|GB-WSX|West Sussex||en||
London borough|GB-WSM|Westminster||en||
metropolitan district|GB-WGN|Wigan||en||
unitary authority|GB-WIL|Wiltshire||en||
unitary authority|GB-WNM|Windsor and Maidenhead||en||
metropolitan district|GB-WRL|Wirral||en||
unitary authority|GB-WOK|Wokingham||en||
metropolitan district|GB-WLV|Wolverhampton||en||
two-tier county|GB-WOR|Worcestershire||en||
unitary authority|GB-WRX|Wrexham [Wrecsam GB-WRC]||en||
unitary authority|GB-YOR|York||en||
