Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2020-044620,12605873663,02/05/2020 10:10:00 AM,,02/05/2020 11:24:31 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,W,Q,Q1,MAGNOLIA,32XX BLOCK OF 23RD AVE W,-122.385973723,47.64938723
2020-044452,12605598696,02/03/2020 08:00:00 AM,02/04/2020 08:00:00 AM,02/05/2020 10:06:28 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,J,J3,ROOSEVELT/RAVENNA,63XX BLOCK OF 5TH AVE NE,-122.323399063,47.67511789
2020-044465,12605567653,02/02/2020 08:30:00 PM,02/02/2020 09:30:00 PM,02/05/2020 09:39:33 AM,A,PROPERTY,ROBBERY,Robbery,120,N,U,U3,ROOSEVELT/RAVENNA,26TH AVE NE / NE BLAKELEY ST,-122.29955218,47.66638407
2020-044225,12605174036,02/05/2020 01:17:00 AM,02/05/2020 02:21:00 AM,02/05/2020 03:30:55 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,Q,Q1,MAGNOLIA,22XX BLOCK OF W RAYE ST,-122.384864805,47.64292734
2020-044076,12605081469,02/05/2020 12:51:21 AM,,02/05/2020 12:51:31 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,B,B2,BALLARD SOUTH,NW 46TH ST / 8TH AVE NW,-122.366195342,47.66219308
2020-044142,12605077150,02/04/2020 10:59:00 PM,,02/05/2020 12:45:08 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M1,DOWNTOWN COMMERCIAL,14XX BLOCK OF 2ND AVE,-122.338449515,47.60878866
2020-044104,12605029468,02/04/2020 08:30:00 PM,02/04/2020 08:45:00 PM,02/04/2020 11:31:52 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,J,J3,PHINNEY RIDGE,71XX BLOCK OF GREENWOOD AVE N,-122.355309065,47.68052695
2020-043988,12604995759,02/04/2020 07:58:00 PM,,02/04/2020 10:46:19 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,26XX BLOCK OF SW BARTON ST,-122.367311993,47.52102758
2020-043928,12604963106,02/04/2020 07:01:00 PM,,02/04/2020 09:59:07 PM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,L,L2,NORTHGATE,15TH AVE NE / NE 95TH ST,-122.312077769,47.69761617
2020-044065,12605008517,02/04/2020 09:00:00 PM,02/04/2020 09:15:00 PM,02/04/2020 09:47:32 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E2,CAPITOL HILL,15XX BLOCK OF 12TH AVE,-122.316845012,47.61468385
2020-044038,12604928711,02/04/2020 08:57:00 PM,,02/04/2020 09:20:35 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,E,E2,CAPITOL HILL,15XX BLOCK OF BROADWAY,-122.320789514,47.61465549
2020-043971,12604927228,02/04/2019 12:00:00 AM,02/04/2020 08:00:00 AM,02/04/2020 09:18:52 PM,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,N,U,U2,UNIVERSITY,45XX BLOCK OF 7TH AVE NE,-122.320720106,47.66247336
2020-043805,12604929082,01/30/2020 07:30:00 PM,,02/04/2020 09:14:00 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,R,R3,COLUMBIA CITY,,0,0
2020-043805,12605193820,01/30/2020 07:30:00 PM,,02/04/2020 09:14:00 PM,A,PERSON,KIDNAPPING/ABDUCTION,Kidnapping/Abduction,100,S,R,R3,COLUMBIA CITY,,0,0
2020-043518,12604909238,02/04/2020 07:30:00 AM,02/04/2020 10:00:00 AM,02/04/2020 08:59:01 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R1,NORTH BEACON HILL,19XX BLOCK OF 13TH AVE S,-122.315976829,47.5859559
2020-044000,12604889529,02/04/2020 08:10:00 PM,02/04/2020 08:39:00 PM,02/04/2020 08:30:24 PM,A,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery,250,E,E,E1,CAPITOL HILL,1XX BLOCK OF BROADWAY E,-122.320863694,47.61932364
2020-043979,12604874045,02/04/2020 07:30:00 PM,,02/04/2020 08:13:42 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E2,FIRST HILL,E SPRING ST / 12TH AVE,-122.316778894,47.61156267
2020-043804,12604760012,01/31/2020 11:00:00 AM,02/04/2020 04:00:00 PM,02/04/2020 06:04:43 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O3,GEORGETOWN,67XX BLOCK OF CORSON AVE S,-122.322909032,47.54294056
2020-043679,12604768348,02/04/2020 03:28:00 PM,,02/04/2020 05:53:30 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U2,UNIVERSITY,45XX BLOCK OF UNIVERSITY WAY NE,-122.313115709,47.66218058
2020-043813,12604748428,02/03/2020 08:00:00 AM,02/04/2020 04:30:00 PM,02/04/2020 05:51:43 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,5XX BLOCK OF 4TH AVE W,-122.361938917,47.62394954
2020-043790,12604733588,02/04/2020 04:40:00 PM,02/04/2020 04:44:00 PM,02/04/2020 05:24:12 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O2,SODO,S SPOKANE ST / 2ND AVE S,-122.332006684,47.57140627
2020-043631,12604680236,02/04/2020 03:00:00 PM,,02/04/2020 04:48:31 PM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,W,K,K2,DOWNTOWN COMMERCIAL,4XX BLOCK OF 3RD AVE,-122.330510332,47.60188591
2020-043743,12604667448,02/03/2020 09:00:00 PM,02/04/2020 07:45:00 AM,02/04/2020 04:33:19 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,Q,Q3,QUEEN ANNE,1XX BLOCK OF DENNY WAY,-122.353751129,47.61859552
2020-043577,12604662310,01/29/2020 06:00:00 PM,01/30/2020 06:00:00 AM,02/04/2020 04:28:43 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q2,QUEEN ANNE,13XX BLOCK OF 4TH AVE W,-122.361804774,47.6308944
2020-043658,12604701795,02/02/2020 12:00:00 AM,02/04/2020 12:00:00 AM,02/04/2020 04:06:13 PM,A,SOCIETY,PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,370,E,C,C3,CENTRAL AREA/SQUIRE PARK,11XX BLOCK OF 18TH AVE,-122.308863594,47.61221899
2020-043658,12604629255,01/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,02/04/2020 04:06:13 PM,A,PROPERTY,EXTORTION/BLACKMAIL,Extortion/Blackmail,210,E,C,C3,CENTRAL AREA/SQUIRE PARK,11XX BLOCK OF 18TH AVE,-122.308863594,47.61221899
2020-043283,12604504697,02/04/2020 11:20:00 AM,02/04/2020 11:50:00 AM,02/04/2020 02:33:37 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,N,N2,NORTHGATE,116XX BLOCK OF AURORA AVE N,-122.344834268,47.71354798
2020-043315,12604473206,02/03/2020 12:00:00 AM,02/04/2020 11:40:00 AM,02/04/2020 02:09:55 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R1,MID BEACON HILL,13XX BLOCK OF S PEARL ST,-122.314783435,47.55638651
2020-043280,12604458633,02/03/2020 10:00:00 PM,02/04/2020 10:00:00 AM,02/04/2020 01:54:37 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,R,R1,NORTH BEACON HILL,21XX BLOCK OF S WAITE ST,-122.304894598,47.57999734
2020-043356,12604336720,02/04/2020 12:11:00 PM,02/04/2020 12:12:00 PM,02/04/2020 01:26:06 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U2,UNIVERSITY,45XX BLOCK OF UNIVERSITY WAY NE,-122.313115709,47.66218058
2020-043094,12604443489,02/03/2020 09:00:00 PM,02/04/2020 07:00:00 AM,02/04/2020 01:11:35 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,G,G2,CENTRAL AREA/SQUIRE PARK,5XX BLOCK OF 18TH AVE,-122.30893628,47.60709807
2020-043259,12604319004,01/23/2020 07:30:00 PM,,02/04/2020 01:07:35 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,W,W2,ALASKA JUNCTION,50XX BLOCK OF FAUNTLEROY WAY SW,-122.381493999,47.5565447
2020-042098,12604232453,02/03/2020 09:00:00 AM,02/03/2020 01:01:00 PM,02/04/2020 11:59:02 AM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,O,O2,SODO,27XX BLOCK OF 3RD AVE S,-122.329988664,47.57876794
2020-043212,12604223543,02/04/2020 08:00:00 AM,02/04/2020 10:20:00 AM,02/04/2020 11:54:26 AM,A,PROPERTY,ROBBERY,Robbery,120,W,K,K1,DOWNTOWN COMMERCIAL,COLUMBIA ST / 5TH AVE,-122.330493842,47.60512615
2020-043202,12604179190,02/02/2020 06:00:00 PM,02/03/2020 07:30:00 AM,02/04/2020 11:14:19 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B3,FREMONT,42XX BLOCK OF WHITMAN AVE N,-122.34563939,47.65912603
2020-043142,12604173337,02/04/2020 09:05:00 AM,,02/04/2020 10:40:45 AM,A,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery,250,W,M,M3,DOWNTOWN COMMERCIAL,4XX BLOCK OF PIKE ST,-122.336128721,47.61044597
2020-043182,12604095457,01/29/2020 12:01:00 AM,02/04/2020 12:00:00 AM,02/04/2020 10:13:21 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS,35XX BLOCK OF SW 97TH ST,-122.378095285,47.51654951
2020-043117,12604100395,02/03/2020 09:00:00 PM,02/04/2020 08:00:00 AM,02/04/2020 10:01:04 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W1,NORTH ADMIRAL,23XX BLOCK OF 41ST AVE SW,-122.383821146,47.58323011
2020-043001,12604082101,02/03/2020 10:00:00 PM,02/04/2020 07:29:00 AM,02/04/2020 09:52:03 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K1,DOWNTOWN COMMERCIAL,7XX BLOCK OF 1ST AVE,-122.334607817,47.60291195
2020-043120,12604185842,02/04/2020 08:45:00 AM,,02/04/2020 09:46:13 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,D,D2,SLU/CASCADE,7TH AVE N / DENNY WAY,-122.343650126,47.6185566
2020-043035,12603996255,02/03/2020 09:30:00 PM,02/03/2020 10:40:00 PM,02/04/2020 08:57:36 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,9XX BLOCK OF E YESLER WAY,-122.320159539,47.60169935
2020-043041,12603989151,02/03/2020 08:00:00 PM,02/04/2020 07:45:00 AM,02/04/2020 08:23:18 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B3,FREMONT,43XX BLOCK OF WHITMAN AVE N,-122.34562812,47.66007201
2020-042849,12603706656,02/03/2020 12:53:00 AM,02/03/2020 12:53:00 AM,02/04/2020 04:52:47 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,U,U3,SANDPOINT,71XX BLOCK OF 62ND AVE NE,-122.262228093,47.67889074
2020-042860,12603706291,02/04/2020 02:00:00 AM,02/04/2020 02:30:00 AM,02/04/2020 04:49:12 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,B,B2,BALLARD SOUTH,11XX BLOCK OF NW LEARY WAY,-122.37218016,47.66365981
2020-042811,12603681821,02/04/2020 12:53:00 AM,,02/04/2020 04:23:50 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,D,D3,SLU/CASCADE,,0,0
2020-042811,12603688357,02/04/2020 12:53:00 AM,,02/04/2020 04:23:50 AM,A,PERSON,SEX OFFENSES,Sodomy,11B,W,D,D3,SLU/CASCADE,,0,0
2020-042846,12603653571,02/04/2020 12:00:00 AM,,02/04/2020 03:10:55 AM,A,PROPERTY,ROBBERY,Robbery,120,E,E,E2,CAPITOL HILL,12XX BLOCK OF E HOWELL ST,-122.316238574,47.61760538
2020-042813,12603625989,02/04/2020 12:54:00 AM,,02/04/2020 01:36:24 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,R,R3,HILLMAN CITY,57XX BLOCK OF MARTIN LUTHER KING JR WAY S,-122.287586514,47.55049818
2020-042687,12603551807,02/03/2020 06:00:00 PM,02/03/2020 08:45:00 PM,02/03/2020 11:53:53 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M3,DOWNTOWN COMMERCIAL,14XX BLOCK OF 5TH AVE,-122.335119802,47.61018167
2020-042701,12603505805,02/03/2020 12:00:00 AM,,02/03/2020 10:51:56 PM,A,PROPERTY,EXTORTION/BLACKMAIL,Extortion/Blackmail,210,E,G,G1,FIRST HILL,3XX BLOCK OF 10TH AVE,-122.319411925,47.60478099
2020-042668,12603489906,02/03/2020 09:06:00 PM,02/03/2020 09:06:00 PM,02/03/2020 10:25:49 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,N,N2,NORTHGATE,132XX BLOCK OF AURORA AVE N,-122.344996828,47.72503555
2020-042668,12603492046,02/03/2020 09:06:00 PM,02/03/2020 09:06:00 PM,02/03/2020 10:25:49 PM,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,N,N,N2,NORTHGATE,132XX BLOCK OF AURORA AVE N,-122.344996828,47.72503555
2020-042545,12603435446,02/03/2020 06:50:00 PM,02/03/2020 07:06:00 PM,02/03/2020 09:11:18 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,Q,Q1,MAGNOLIA,34XX BLOCK OF 24TH AVE W,-122.387558476,47.65137209
2020-042538,12603405539,02/03/2020 06:23:00 PM,02/03/2020 06:24:00 PM,02/03/2020 08:21:28 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,4XX BLOCK OF NE NORTHGATE WAY,-122.324615158,47.7086028
2020-042509,12603393850,02/03/2020 04:30:00 PM,,02/03/2020 08:20:28 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,6XX BLOCK OF S KING ST,-122.324731506,47.59835127
2020-031973,12603378761,01/26/2020 07:00:00 AM,01/26/2020 08:00:00 PM,02/03/2020 08:04:33 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,8XX BLOCK OF S WELLER ST,-122.322052376,47.59750785
2020-042066,12603358305,12/18/2019 12:00:00 PM,,02/03/2020 07:38:23 PM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,N,J,J3,ROOSEVELT/RAVENNA,71XX BLOCK OF WOODLAWN AVE NE,-122.324611421,47.68015558
2020-042554,12603425679,01/31/2020 11:57:00 PM,02/01/2020 12:00:00 AM,02/03/2020 07:31:12 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,L,L2,NORTHGATE,10XX BLOCK OF NE 104TH ST,-122.316877599,47.70400593
2020-042356,12603342697,02/01/2020 10:00:00 AM,,02/03/2020 07:21:27 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,W,W2,HIGH POINT,54XX BLOCK OF 31ST AVE SW,-122.372273693,47.55286188
2020-042339,12603327658,02/02/2020 08:00:00 PM,,02/03/2020 07:05:00 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,B,B2,BALLARD SOUTH,11XX BLOCK OF NW 50TH ST,-122.37217846,47.66504444
2020-042543,12603329430,01/28/2020 07:00:00 AM,01/28/2020 05:00:00 PM,02/03/2020 06:57:06 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,E,E,E1,CAPITOL HILL,17XX BLOCK OF BELMONT AVE,-122.324495896,47.61704694
2020-042393,12603300218,02/02/2020 12:30:00 PM,02/03/2020 12:30:00 PM,02/03/2020 06:34:38 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,R,R2,MOUNT BAKER,21XX BLOCK OF 26TH AVE S,-122.299022274,47.58435803
2020-042474,12603293203,02/03/2020 01:20:00 PM,02/03/2020 01:40:00 PM,02/03/2020 06:21:20 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E3,FIRST HILL,8XX BLOCK OF SENECA ST,-122.32922111,47.60960404
2020-042265,12603278169,01/31/2020 12:00:00 PM,,02/03/2020 06:06:47 PM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,SW,F,F3,HIGHLAND PARK,87XX BLOCK OF 16TH AVE SW,-122.35508026,47.52516304
2020-042173,12603262460,02/02/2020 04:40:00 PM,,02/03/2020 05:52:31 PM,A,PROPERTY,EMBEZZLEMENT,Embezzlement,270,S,R,R3,HILLMAN CITY,56XX BLOCK OF MARTIN LUTHER KING JR WAY S,-122.28811157,47.5516102
2020-041997,12603255555,02/03/2020 11:47:00 AM,02/03/2020 12:12:00 PM,02/03/2020 05:43:11 PM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,N,N1,BITTERLAKE,105XX BLOCK OF GREENWOOD AVE N,-122.355459683,47.70599117
2020-042425,12603243471,02/03/2020 04:45:00 PM,02/03/2020 04:50:00 PM,02/03/2020 05:34:52 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,B,B2,BALLARD SOUTH,11XX BLOCK OF NW LEARY WAY,-122.37218016,47.66365981
2020-041849,12603219787,01/27/2020 12:00:00 AM,02/03/2020 05:00:00 PM,02/03/2020 05:09:25 PM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,W,D,D1,BELLTOWN,1XX BLOCK OF CEDAR ST,-122.350186371,47.6161341
2020-042364,12603216269,02/03/2020 04:00:00 AM,02/03/2020 05:00:00 AM,02/03/2020 05:03:14 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,90XX BLOCK OF 25TH AVE SW,-122.364542433,47.52193839
2020-042161,12603213007,02/03/2020 01:51:00 PM,,02/03/2020 05:01:33 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O3,GEORGETOWN,6TH AVE S / S MICHIGAN ST,-122.326153215,47.54625
2020-042310,12603179493,02/02/2020 06:12:00 PM,,02/03/2020 04:39:21 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,E,E2,CAPITOL HILL,15XX BLOCK OF BROADWAY,-122.320789514,47.61465549
2020-042117,12603181869,02/03/2020 12:00:00 PM,,02/03/2020 04:37:37 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K2,PIONEER SQUARE,2XX BLOCK OF S KING ST,-122.330976342,47.59828697
2020-042182,12603172639,02/03/2020 12:07:00 PM,02/03/2020 12:16:00 PM,02/03/2020 04:31:53 PM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,W,Q,Q2,QUEEN ANNE,7TH AVE W / W HOWE ST,-122.366339921,47.63595428
2020-042269,12603140175,02/02/2020 05:00:00 PM,02/03/2020 02:30:00 PM,02/03/2020 04:02:33 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,Q,Q3,QUEEN ANNE,4XX BLOCK OF W MERCER ST,-122.362586854,47.62460516
2020-042195,12603125126,02/01/2020 02:00:00 AM,02/01/2020 02:15:00 AM,02/03/2020 03:49:24 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,B,B2,BALLARD SOUTH,47XX BLOCK OF 9TH AVE NW,-122.368605586,47.66329603
2020-042275,12603089566,02/03/2020 11:53:00 AM,,02/03/2020 03:35:22 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U1,ROOSEVELT/RAVENNA,10XX BLOCK OF NE 64TH ST,-122.3165105,47.67497945
2020-042218,12603113756,01/27/2020 12:00:00 AM,02/03/2020 03:00:00 PM,02/03/2020 03:31:11 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,D,D1,BELLTOWN,28XX BLOCK OF WESTERN AVE,-122.352887455,47.61597109
2020-042240,12603070436,02/03/2020 02:35:00 PM,,02/03/2020 03:16:26 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U1,ROOSEVELT/RAVENNA,10XX BLOCK OF NE 64TH ST,-122.3165105,47.67497945
2020-042083,12603013610,02/03/2020 12:51:00 PM,02/03/2020 12:53:00 PM,02/03/2020 02:38:29 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,Q,Q1,MAGNOLIA,25XX BLOCK OF 32ND AVE W,-122.398309451,47.64217288
2020-041919,12603005065,01/31/2020 12:00:00 AM,,02/03/2020 02:35:25 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D2,QUEEN ANNE,24XX BLOCK OF BIRCH AVE N,-122.346254958,47.64176879
2020-041934,12602993330,01/17/2020 09:18:00 PM,01/17/2020 09:18:00 PM,02/03/2020 02:29:26 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,F,F1,HIGH POINT,73XX BLOCK OF DELRIDGE WAY SW,-122.361297662,47.5360414
2020-041971,12602957745,02/03/2020 11:20:00 AM,02/03/2020 11:30:00 AM,02/03/2020 02:04:57 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,D,D2,SLU/CASCADE,20XX BLOCK OF WESTLAKE AVE,-122.337879034,47.61588661
2020-901678,12602938497,01/28/2020 10:35:00 PM,01/28/2020 11:35:00 PM,02/03/2020 01:53:06 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E3,CAPITOL HILL,E PIKE ST / MELROSE AVE,-122.327804574,47.61393023
2020-901676,12602937895,02/03/2020 01:25:00 AM,02/03/2020 02:00:00 AM,02/03/2020 01:52:25 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G1,FIRST HILL,1XX BLOCK OF 12TH AVE,-122.316781855,47.60218964
2020-901675,12602937684,02/01/2020 10:00:00 PM,02/02/2020 02:00:00 AM,02/03/2020 01:52:17 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E1,CAPITOL HILL,E THOMAS ST / BROADWAY E,-122.320891673,47.62107587
2020-041953,12602919317,02/03/2020 11:05:00 AM,,02/03/2020 01:30:58 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,D,D3,SLU/CASCADE,8XX BLOCK OF YALE AVE N,-122.330844102,47.62642066
2020-041856,12602913229,01/02/2020 12:00:00 AM,01/20/2020 12:00:00 AM,02/03/2020 01:21:54 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,6XX BLOCK OF MAYNARD AVE S,-122.325063697,47.59709367
2020-041991,12603481782,01/13/2020 10:00:00 AM,02/03/2020 11:00:00 AM,02/03/2020 01:16:00 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W2,ALASKA JUNCTION,37XX BLOCK OF SW FINDLAY ST,-122.379318965,47.55200342
2020-041991,12602904965,01/13/2020 10:00:00 AM,02/03/2020 11:00:00 AM,02/03/2020 01:16:00 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,W,W2,ALASKA JUNCTION,37XX BLOCK OF SW FINDLAY ST,-122.379318965,47.55200342
2020-041831,12602895526,02/03/2020 09:00:00 AM,02/03/2020 09:30:00 AM,02/03/2020 01:14:51 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,D,D3,SLU/CASCADE,10XX BLOCK OF MERCER ST,-122.336479326,47.62454524
2020-901673,12602889989,01/31/2020 03:30:00 AM,01/31/2020 03:35:00 AM,02/03/2020 01:12:16 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R2,MOUNT BAKER,37XX BLOCK OF 42ND AVE S,-122.280730889,47.57019913
2020-042036,12602890959,02/03/2020 12:15:00 PM,02/03/2020 12:16:00 PM,02/03/2020 01:09:57 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M3,DOWNTOWN COMMERCIAL,5XX BLOCK OF PIKE ST,-122.335017876,47.61090902
2020-041852,12602890297,02/03/2020 09:30:00 AM,02/03/2020 09:35:00 AM,02/03/2020 01:06:55 PM,A,PROPERTY,ROBBERY,Robbery,120,W,K,K2,DOWNTOWN COMMERCIAL,5XX BLOCK OF 3RD AVE,-122.331082199,47.60241242
2020-901672,12602877558,02/02/2020 06:18:00 AM,02/03/2020 06:30:00 AM,02/03/2020 01:03:07 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W1,NORTH ADMIRAL,36XX BLOCK OF SW LANDER ST,-122.377542525,47.57927478
2020-901671,12602864315,01/30/2020 07:20:00 PM,01/30/2020 10:45:00 PM,02/03/2020 12:52:27 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B2,FREMONT,N CANAL ST / PHINNEY AVE N,-122.35448367,47.65046915
2020-041873,12602833182,01/31/2020 05:00:00 PM,02/02/2020 12:00:00 PM,02/03/2020 12:29:09 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,G,G3,JUDKINS PARK/NORTH BEACON HILL,16XX BLOCK OF S JACKSON ST,-122.310924822,47.5992282
2020-901670,12602800752,02/02/2020 04:45:00 PM,02/02/2020 04:50:00 PM,02/03/2020 12:12:25 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,M,M1,DOWNTOWN COMMERCIAL,15XX BLOCK OF PIKE PL,-122.340630935,47.60872352
2020-901669,12602800513,11/15/2019 08:00:00 PM,11/15/2019 10:00:00 PM,02/03/2020 12:12:18 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,K,K2,PIONEER SQUARE,8XX BLOCK OF OCCIDENTAL AVE S,-122.333268209,47.59678343
