Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2020-040264,12601083788,02/01/2020 10:00:00 PM,02/01/2020 10:30:00 PM,02/02/2020 12:07:41 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,S,S1,MID BEACON HILL,35XX BLOCK OF S JUNEAU ST,-122.288887697,47.54977227
2020-040134,12601063105,02/01/2020 04:08:00 PM,,02/01/2020 11:40:20 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,F,F2,SOUTH DELRIDGE,92XX BLOCK OF 17TH AVE SW,-122.356479904,47.52011424
2020-040298,12601058261,02/01/2020 11:09:00 PM,,02/01/2020 11:40:11 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,B,B2,BALLARD SOUTH,9XX BLOCK OF NW LEARY WAY,-122.370494777,47.66365748
2020-040183,12601007490,02/01/2020 08:50:00 PM,,02/01/2020 10:59:24 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,S,R,R2,MOUNT BAKER,38XX BLOCK OF RAINIER AVE S,-122.289921964,47.56888116
2020-040158,12600992293,02/01/2020 09:07:00 PM,,02/01/2020 10:52:41 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U1,ROOSEVELT/RAVENNA,70XX BLOCK OF 20TH PL NE,-122.306046261,47.6807958
2020-040154,12600926273,02/01/2020 09:05:00 PM,02/01/2020 09:05:00 PM,02/01/2020 10:09:36 PM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SW,W,W3,MORGAN,65XX BLOCK OF BEACH DR SW,-122.396531383,47.54328358
2020-039966,12600910235,02/01/2020 02:00:00 PM,02/01/2020 05:00:00 PM,02/01/2020 10:06:41 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,M,M3,DOWNTOWN COMMERCIAL,14XX BLOCK OF 6TH AVE,-122.334010378,47.61064592
2020-040129,12600873729,02/01/2020 08:00:00 PM,,02/01/2020 09:53:46 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E3,CAPITOL HILL,15XX BLOCK OF MELROSE AVE,-122.327915389,47.6145776
2020-040026,12600835381,02/01/2020 05:23:00 PM,02/01/2020 05:27:00 PM,02/01/2020 09:35:55 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U3,ROOSEVELT/RAVENNA,26XX BLOCK OF NE UNIVERSITY VILLAGE ST,-122.298411155,47.66332336
2020-039774,12600956388,02/01/2020 04:48:00 PM,02/01/2020 04:48:00 PM,02/01/2020 09:14:27 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,E,E3,FIRST HILL,7XX BLOCK OF BROADWAY,-122.320755793,47.60865749
2020-040097,12600800485,02/01/2020 07:40:00 PM,,02/01/2020 09:11:39 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,S,S1,NEW HOLLY,29XX BLOCK OF S HOLLY ST,-122.29528609,47.54264886
2020-040093,12600803888,02/01/2020 08:10:00 AM,02/01/2020 08:22:00 AM,02/01/2020 08:51:00 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M3,DOWNTOWN COMMERCIAL,14XX BLOCK OF 3RD AVE,-122.33733875,47.60925299
2020-040093,12603621892,02/01/2020 08:10:00 AM,02/01/2020 08:22:00 AM,02/01/2020 08:51:00 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,M,M3,DOWNTOWN COMMERCIAL,14XX BLOCK OF 3RD AVE,-122.33733875,47.60925299
2020-040056,12600921924,02/01/2020 01:00:00 PM,,02/01/2020 08:33:53 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,W,W2,ALASKA JUNCTION,40XX BLOCK OF 36TH AVE SW,-122.377445488,47.56742553
2020-039989,12600684014,02/01/2020 05:42:00 PM,02/01/2020 05:43:00 PM,02/01/2020 08:18:05 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,25XX BLOCK OF SW BARTON ST,-122.365221006,47.52102254
